ID,Title,Description,First option,First option tooltip,Second option,Second option tooltip
E1,"Гляньте!","Просто посмотрите, с чего вы начинаете! Здесь много возможностей сделать этот продукт великим или полностью провальным.","Я сделаю всё возможное","Вот некоторые средства, которыми вы можете воспользоваться. Расходуйте их с умом!","Попробуем!","Вам это понадобится, чтобы достигнуть ваших целей."
E2,"Важное решение","Теперь вам нужно принять важное решение: будете ли вы делать свой продукт для детей или для подростков?","Дети","Ваша команда более знакома с данным типом аудитории. Значит, разработчикам проще создать продукт.","Подростки","Для этой аудитории доступна грантовая поддержка. Вы сможете легко можете её получить, если сосредоточитесь именно на подростках."
E3,"Обучающиий контент","Пора начинать делать образовательный контент. Вы можете попросить ИИ сделать это за вас или заняться этим сами.","Создать контент с помощью ИИ","Неплохая попытка, но из-за использования ИИ контент будет не таким качественным, как вы хотели.","Создать контент самому","Вы создали отличный контент, который значительно повысит вовлеченность в обучение."
E4,"Пробуемся быть в тренде","Поскольку ваше приложение ориентировано на молодое поколение, вы можете использовать сленг или формальный язык.","Сленг мне подходит","Сленг делает обучение более увлекательным для подростков. Другим поколениям это тоже может понравиться.","Я предпочитаю формальный язык","Формальный язык понятен всем. Хорошая работа."
E5,"Посещение школы","Вы узнаёте, что ваша бывшая школа проводит образовательную ярмарку для показа инновационных обучающих инструментов. Вы можете поучаствовать и прорекламировать свое приложение, но времени на подготовку мало. Нужно решить, что делать.","Создать быструю презентацию","Вы произвели впечатление на аудиторию и вызвали интерес к вашему приложению. Вы завели полезные знакомства, которые могут помочь вашему проекту в будущем!","Пропустить ярмарку и сфокусироваться на работе","Вы упустили возможность продвинуть свое приложение. Позже вы узнаете, что многие конкуренты получили ценное признание публики."
E6,"Регулирование","Поскольку ваш продукт предназначен для школ, вам нужно будет пройти соответствие новым нормативным требованиям. Это будет затратно, но не слишком. Вы будете делать это самостоятельно или наймёте юриста?","Сами","Вам следует тщательно изучить все документы для заполнения, и на это уйдет несколько недель, чтобы все осуществить.","Нанять Юриста","Стоимость большая, но вы сможете сосредоточиться на своем продукте, тогда как все документы будут подготовлены в любом случае."
E7,"Фокус-группа подростков","Вы организуете фокус-группу с подростками, чтобы протестировать бета-версию приложения. Некоторым оно кажется полезным, но другим заметно скучно и не интересно. Они говорят, что приложению не хватает чего-то «крутого».","Добавить функции из игр","Подростки заинтересованы новым контентом. Информация быстро распространяется среди их друзей, и приложение набирает популярность в сообществах, становясь более интерактивным и интересным.","Оставить текущий дизайн","Подростки могут потерять интерес и воспринять приложение как просто учебный инструмент. Вы упускаете шанс сделать приложение более привлекательным для молодой аудитории."
E8,"Челлендж в социальных сетях","В социальных сетях становится популярным челлендж, связанный с учебой и продуктивностью. У вас есть возможность выложить пост, связав ваше приложение с этим трендом.","Принять участие в челлендже","Ваш пост набирает популярность и привлекает новых пользователей в приложение.","Это не подходит бренду","Со временем другие приложения получили популярность благодаря этому челленджу."
E9,"Доступность приложения","Вы можете сделать приложение более доступным для всех, выпустив версии для разных платформ. Будете ли вы создавать десктопную и веб-версию для расширения охвата или улучшите существующий функционал.","Разработать версии для других платформ","Разрабатывая приложение для разных платформ, вы повысили его доступность и охватили более широкую аудиторию.","Улучшить существующий функционал","Вы улучшаете функциональность приложения, что повышает пользовательский опыт и удовлетворенность."
E10,"Новый отчет","Ведущая благотворительная организация по охране дикой природы опубликовала их отчет за последние шесть месяцев.","Мне стоит использовать эти данные","Эти данные помогают вашему приложению лучше ориентироваться в актуальных проблемах дикой природы.","Я буду придерживаться первоначального плана","Работа продвигается по плану, но без новых взглядов."
